公司名,城,注册号
中信房地产股份有限公司,总局,100000000005202
中国中材股份有限公司,总局,100000000006109
中国中车股份有限公司,总局,100000000041417
中国中铁股份有限公司,总局,100000000041175
中国五矿股份有限公司,总局,100000000042959
中国交通建设股份有限公司,总局,100000000040563
中国国际航空股份有限公司,总局,100000400011521
中国国际贸易中心股份有限公司,总局,100000000027880
中国外运股份有限公司,总局,100000000037375
中国大唐集团新能源股份有限公司,总局,100000000042055
中国泛海控股集团有限公司,总局,100000000007739
中国电力建设股份有限公司,总局,100000000042397
中国石油化工股份有限公司,总局,100000000032985
中国第一重型机械股份公司,总局,100000000041982
中国航空技术国际控股有限公司,总局,100000000000991
中国长江电力股份有限公司,总局,100000000037300
北京首都国际机场股份有限公司,总局,100000400008785
华能国际电力股份有限公司,总局,100000400004967
华能新能源股份有限公司,总局,100000000037334
华融融德资产管理有限公司,总局,100000400011628
大唐国际发电股份有限公司,总局,100000400007893
大秦铁路股份有限公司,总局,100000000039278
远洋地产有限公司,总局,100000400009840
际华集团股份有限公司,总局,100000000040426
龙源电力集团股份有限公司,总局,100000000012769


世纪金源投资集团有限公司,北京,110000002960001
中兴能源有限公司,北京,110000010716319
中国铁建房地产集团有限公司,北京,110000010161414
中成新星油田工程技术服务股份有限公司,北京,110000010442959
中昌恒远控股有限公司,北京,110000001960801
中海阳能源集团股份有限公司,北京,110114008629497
中科云网科技集团股份有限公司,北京,110000000871563
中航百慕新材料技术工程股份有限公司,北京,110108004446424
乐视网信息技术（北京）股份有限公司,北京,110000007760467
北京万通地产股份有限公司,北京,110000005200607
北京三聚环保新材料股份有限公司,北京,110000002472736
北京中关村四环医药开发有限责任公司,北京,110000004213975
北京中实混凝土有限责任公司,北京,110000001313676
北京中电华强焊接工程技术有限公司,北京,110108001752139
北京中科金财科技股份有限公司,北京,110108006333023
北京九恒星科技股份有限公司,北京,110108001227449
北京京客隆商业集团股份有限公司,北京,110000002315927
北京京能清洁能源电力股份有限公司,北京,110000002224112
北京京能电力股份有限公司,北京,110000002769583
北京信威通信技术股份有限公司,北京,110000410108211
北京凯英信业科技股份有限公司,北京,110108000409456
北京利尔高温材料股份有限公司,北京,110114001748483
北京北辰实业股份有限公司,北京,110000410131502
北京华业资本控股股份有限公司,北京,110000001525295
北京华索科技股份有限公司,北京,110108007911384
北京华耐立家建材有限公司,北京,110106007481269
北京华联综合超市股份有限公司,北京,110000005074869
北京华胜天成科技股份有限公司,北京,110000005143778
北京同创九鼎投资管理股份有限公司,北京,110102013438139
北京名翔国际影院管理有限公司,北京,110108010234870
北京嘉寓门窗幕墙股份有限公司,北京,110000410296248
北京嘉林药业股份有限公司,北京,110000002033318
北京回龙观星美国际影城管理有限公司,北京,110114011276610
北京城建投资发展股份有限公司,北京,110000005200596
北京大北农科技集团股份有限公司,北京,110000004602260
北京天尧信息技术有限公司,北京,110108003502292
北京天恒置业集团有限公司,北京,110102000687239
北京天路通科技有限责任公司,北京,110106003060033
北京安德固脚手架工程有限公司,北京,110000007542827
北京安期生技术有限公司,北京,110108004670501
北京巴士传媒股份有限公司,北京,110000000454267
北京市合利看丹混凝土有限公司,北京,110106005671988
北京德鑫泉物联网科技股份有限公司,北京,110106006407058
北京思倍驰科技股份有限公司,北京,110108000866097
北京新华空港航空食品有限公司,北京,110000004987538
北京新奥集团有限公司,北京,110000006339999
北京昊华能源股份有限公司,北京,110000005219835
北京望京星美国际影城管理有限公司,北京,110105002077100
北京桀亚莱福生物技术有限责任公司,北京,110000005054811
北京派特罗尔油田服务股份公司,北京,110106003072882
北京海吉星医疗科技有限公司,北京,110000006438165
北京清研利华石油化学技术有限公司,北京,110108009072497
北京王府井百货（集团）股份有限公司,北京,110000005013217
北京电信易通信息技术股份有限公司,北京,110108001225937
北京神雾环境能源科技集团股份有限公司,北京,110114003148685
北京立高防水工程有限公司,北京,110117001694503
北京精彩无限音像有限公司,北京,110101006106764
北京精英伟业影视文化有限责任公司,北京,110114006722852
北京绿润食品有限公司,北京,110000410303790
北京联飞翔科技股份有限公司,北京,110101000172036
北京蓝天瑞德环保技术股份有限公司,北京,110108002614670
北京蓝色光标品牌管理顾问股份有限公司,北京,110108004952150
北京讯鸟软件有限公司,北京,110108003356286
北京金一文化发展股份有限公司,北京,110000010649218
北京金豪制药股份有限公司,北京,110302004649474
北京首都开发控股（集团）有限公司,北京,110000009067358
北京首都开发股份有限公司,北京,110000005020731
北京鸿仪四方辐射技术股份有限公司,北京,110112006286593
北汽福田汽车股份有限公司,北京,110000005082498
华锐风电科技（集团）股份有限公司,北京,110000009320573
博彦科技股份有限公司,北京,110000410218438
国电科技环保集团股份有限公司,北京,110000005014429
安泰科技股份有限公司,北京,110000005200588
德天御生态科技（北京）有限公司,北京,110106001610302
昭仪新天地股份有限公司,北京,110116005267687
江河创建集团股份有限公司,北京,110000000236322
江苏康得新复合材料股份有限公司,北京,110000410161601
