城市,企业数量,当前比例
江苏省,249.0,17.47%
浙江省,196.0,31.23%
广东省,128.0,40.21%
山东省,92.0,46.67%
北京市,80.0,52.28%
上海市,63.0,56.7%
重庆市,62.0,61.05%
湖南省,45.0,64.21%
湖北省,44.0,67.3%
福建省,44.0,70.39%
四川省,42.0,73.33%
安徽省,35.0,75.79%
辽宁省,31.0,77.96%
天津市,30.0,80.07%
河南省,30.0,82.18%
贵州省,29.0,84.21%
内蒙古自治区,29.0,86.25%
云南省,28.0,88.21%
国家总局,25.0,89.96%
河北省,21.0,91.44%
江西省,19.0,92.77%
新疆维吾尔自治区,18.0,94.04%
广西壮族自治区,16.0,95.16%
陕西省,13.0,96.07%
山西省,12.0,96.91%
海南省,11.0,97.68%
吉林省,8.0,98.25%
黑龙江省,8.0,98.81%
青海省,7.0,99.3%
甘肃省,4.0,99.58%
宁夏回族自治区,4.0,99.86%
西藏自治区,2.0,100.0%
