code,name,area
600833,第一医药,上海
600958,东方证券,上海
002116,中国海诚,上海
300336,新文化,上海
600895,张江高科,上海
600675,中华企业,上海
600676,交运股份,上海
600210,紫江企业,上海
600679,金山开发,上海
600680,上海普天,上海
600196,复星医药,上海
600688,上海石化,上海
600689,上海三毛,上海
600193,创兴资源,上海
600692,亚通股份,上海
002346,柘中股份,上海
600695,绿庭投资,上海
300378,鼎捷软件,上海
600696,匹凸匹,上海
300380,安硕信息,上海
002158,汉钟精机,上海
600171,上海贝岭,上海
600708,海博股份,上海
002328,新朋股份,上海
002162,斯米克,上海
300398,飞凯材料,上海
600665,天地源,上海
600170,上海建工,上海
300330,华虹计通,上海
600663,陆家嘴,上海
300230,永利带业,上海
600315,上海家化,上海
600647,同达创业,上海
300236,上海新阳,上海
300245,天玑科技,上海
600648,外高桥,上海
300253,卫宁软件,上海
300262,巴安水务,上海
600019,宝钢股份,上海
300272,开能环保,上海
601021,春秋航空,上海
600650,锦江投资,上海
300286,安科瑞,上海
600651,飞乐音响,上海
600284,浦东建设,上海
600652,游久游戏,上海
600278,东方创业,上海
600653,申华控股,上海
600272,开开实业,上海
600654,中安消,上海
002401,中海科技,上海
600655,豫园商城,上海
600661,新南洋,上海
600662,强生控股,上海
300326,凯利泰,上海
300327,中颖电子,上海
002324,普利特,上海
600151,航天机电,上海
600851,海欣股份,上海
300469,信息发展,上海
600825,新华传媒,上海
600824,益民集团,上海
600823,世茂股份,上海
600822,上海物贸,上海
600094,大名城,上海
002269,美邦服饰,上海
600820,隧道股份,上海
600819,耀皮玻璃,上海
600088,中视传媒,上海
600818,中路股份,上海
300483,沃施股份,上海
600817,ST宏盛,上海
600816,安信信托,上海
600081,东风科技,上海
600000,浦发银行,上海
002252,上海莱士,上海
600073,上海梅林,上海
600072,钢构工程,上海
600009,上海机场,上海
600061,国投安信,上海
600767,运盛医疗,上海
600050,中国联通,上海
600026,中海发展,上海
600018,上港集团,上海
000668,荣丰控股,上海
002278,神开股份,上海
600826,兰生股份,上海
600827,百联股份,上海
600150,中国船舶,上海
002178,延华智能,上海
600119,长江投资,上海
600850,华东电脑,上海
002184,海得控制,上海
600848,自仪股份,上海
600846,同济科技,上海
600845,宝信软件,上海
600732,*ST新梅,上海
600115,东方航空,上海
300442,普丽盛,上海
600741,华域汽车,上海
601211,国泰君安,上海
600844,丹化科技,上海
600841,上柴股份,上海
600104,上汽集团,上海
600838,上海九百,上海
002195,二三四五,上海
600837,海通证券,上海
600836,界龙实业,上海
600748,上实发展,上海
300462,华铭智能,上海
600835,上海机电,上海
600834,申通地铁,上海
600754,锦江股份,上海
600097,开创国际,上海
600843,上工申贝,上海
000863,三湘股份,上海
600649,城投控股,上海
601231,环旭电子,上海
603020,爱普股份,上海
002568,百润股份,上海
603012,创力集团,上海
600611,大众交通,上海
603009,北特科技,上海
603006,联明股份,上海
603003,龙宇燃油,上海
002565,上海绿新,上海
600612,老凤祥,上海
300039,上海凯宝,上海
002561,徐家汇,上海
600613,神奇制药,上海
600614,鼎立股份,上海
600615,丰华股份,上海
600616,金枫酒业,上海
601968,宝钢包装,上海
600420,现代制药,上海
600618,氯碱化工,上海
300059,东方财富,上海
300061,康耐特,上海
600320,振华重工,上海
300067,安诺其,上海
600620,天宸股份,上海
600621,华鑫股份,上海
600622,嘉宝集团,上海
600623,双钱股份,上海
600624,复旦复华,上海
600610,中毅达,上海
603022,新通联,上海
300017,网宿科技,上海
603030,全筑股份,上海
600555,九龙山,上海
600530,交大昂立,上海
603918,金桥信息,上海
603899,晨光文具,上海
002669,康达新材,上海
603885,吉祥航空,上海
600517,置信电气,上海
600508,上海能源,上海
600503,华丽家族,上海
603729,龙韵股份,上海
603718,海利生物,上海
002636,金安国纪,上海
002706,良信电器,上海
601872,招商轮船,上海
600500,中化国际,上海
002022,科华生物,上海
600597,光明乳业,上海
002028,思源电气,上海
002605,姚记扑克,上海
600601,方正科技,上海
600602,仪电电子,上海
600604,市北高新,上海
603128,华贸物流,上海
300008,上海佳豪,上海
600605,汇通能源,上海
603108,润达医疗,上海
600606,绿地控股,上海
600608,*ST沪科,上海
600490,鹏欣资源,上海
601866,中海集运,上海
600619,海立股份,上海
600626,申达股份,上海
600637,东方明珠,上海
300168,万达信息,上海
300170,汉得信息,上海
601616,广电电气,上海
601607,上海医药,上海
300171,东富龙,上海
601601,中国太保,上海
300074,华平股份,上海
300180,华峰超纤,上海
600639,浦东金桥,上海
600636,三爱富,上海
600640,号百控股,上海
600641,万业企业,上海
601519,大智慧,上海
600642,申能股份,上海
600643,爱建股份,上海
